GEONAME,CRASH_TYPE_CD,VARIABLE,VALUE
Licking County,Fixed Object,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.32437275985663083
Licking County,Head On,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.07347670250896057
Licking County,Left Turn,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.06272401433691756
Licking County,Other Non-Collision,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.025089605734767026
Licking County,Other Non-Vehicle,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0
Licking County,Other Object,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0
Licking County,Overturning,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.053763440860215055
Licking County,Parked Vehicle,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.021505376344086023
Licking County,Pedalcycles,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.035842293906810034
Licking County,Pedestrian,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.06093189964157706
Licking County,Rear End,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.07347670250896057
Licking County,Right Turn,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.01971326164874552
Licking County,Sideswipe - Meeting,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0017921146953405018
Licking County,Sideswipe - Passing,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.05734767025089606
Licking County,Train,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0
Licking County,Unknown,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.005376344086021506
Madison County,Angle,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.2
Madison County,Animal,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.01951219512195122
Madison County,Backing,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.00975609756097561
Madison County,Fixed Object,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.34146341463414637
Madison County,Head On,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.03414634146341464
Madison County,Left Turn,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.05365853658536585
Madison County,Other Non-Collision,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.01951219512195122
Madison County,Other Object,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.0
Madison County,Overturning,GEO_CRASHTYPE_SHARE_OF_SERIOUS,0.02926829268292683
